,Model,mAP,FN_count,mean_center_distance
0,best_1024T0.6,0.4442394126211749,3603,11.682797456613779
1,best_736T0.4,0.42696144394545327,3701,11.387657903358049
2,best_736T0.2,0.43421168880533634,3691,11.387404185068949
3,best_1024T0.8,0.42693703585834253,3624,11.668727917198034
4,best_640T0.2,0.4282240369969658,3765,11.834960044710705
5,best_640T0.4,0.4158545958239066,3771,11.84001928092276
6,best_1024T0.2,0.44712897382647643,3583,11.712314422813142
7,best_736T0.6,0.421282894394869,3725,11.35986153623208
8,best_736T0.8,0.4153751584116696,3793,11.335952939927108
9,best_640T0.6,0.40862702019684183,3779,11.834171465702616
10,best_640T0.8,0.4047915024435306,3821,11.745796935353436
11,best_1024T0.4,0.4354669220925141,3593,11.69700776949714
